,Charity,All time funding (990),All time pledged,Website,Passthrough,EIN,Tags,2025,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,2024,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,2023,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,2022,Unnamed: 25_level_0,2021,Unnamed: 27_level_0,2020,2019,Unnamed: 30_level_0,2018,Unnamed: 32_level_0,2017,Unnamed: 34_level_0,2016,Unnamed: 36_level_0,2015,Unnamed: 38_level_0,2014,Unnamed: 40_level_0,2013,Unnamed: 42_level_0,2012,Unnamed: 44_level_0,2011
233,Walkin' &amp; Rollin' Costumes,$0.00,$0.00,,,47-5478453,Youth services,,,,,,,,1.0,126.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
234,War Child,"$32,024.00","$32,023.26",https://www.warchild.org/,,20-0094157,War,,,,,,,,1.0,91.0,,,,no fund or feat,,,,no fund or feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
235,water.org,"$150,021.39","$132,010.76",https://water.org/,,58-2060131,Water,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,"$17,440.00","$14,701.10","$18,631.00","$18,630.48",,,,,"$40,271.00","$25,000.00","$15,089.00","$15,088.79","$50,000.00","$50,000.00",,,8590.39,8590.39
236,Wayne Foundation,"$25,205.00","$25,204.68",http://waynefdn.org/,,27-2101347,,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,"$25,205.00","$25,204.68",,,,
237,Waypoint Centre for Mental Health Care,$0.00,$0.00,,,,,,,,,,,,,,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
238,We Got This,$0.00,$0.00,,,47-4248078,,,,,,,,,1.0,45.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
239,We Need Diverse Books,"$40,089.00","$40,088.79",http://weneeddiversebooks.org/,,47-1786302,Libraries; Education,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,"$25,000.00","$25,000.00",,,"$15,089.00","$15,088.79",,,,,,
240,Wezesha Binti girl up,$0.00,$0.00,,,,,,,,,,,,1.0,236.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Whale and Dolphin Conservation,$0.00,$0.00,HTTP://US.WHALES.ORG,,02-0749188,Animals,,,,,,,,1.0,296.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Wigs4Kids,"$19,768.00","$19,718.00",http://www.wigs4kids.org/,,20-0374667,Children; Health,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$19,768.00","$19,718.00",,,,,,,,,,,,
243,Wild Animal Initiative,"$27,654.00","$27,653.45",https://www.wildanimalinitiative.org/,,82-2281466,Animals,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
244,Wildlife Conservation Network,"$21,928.00","$21,927.93",https://wildnet.org/,,30-0108469,Environment,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,"$21,928.00","$21,927.93",,,,,,,,,,
245,Wildlife Trusts,"$27,545.00","$27,653.45",https://www.wildlifetrusts.org/,CAF America,207238,Environment,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,545.00",,,,,,,,,,,,,,,,,,
246,Wildlife Waystation,"$78,899.00","$78,848.48",https://wildlifewaystation.org/,,95-3190812,Environment,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48","$19,768.00","$19,718.00",,,,,,,,,"$40,500.00","$40,500.00",,
247,Women for Women International,"$25,205.00","$25,204.68",http://www.womenforwomen.org/,,52-1838756,Women's rights,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,"$25,205.00","$25,204.68",,,,
248,World Association of Girl Guides and Girl Scouts,$0.00,$0.00,,,,Women's rights,,,,,,,,1.0,87.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
249,World Bicycle Relief,"$32,024.00","$32,023.26",https://worldbicyclerelief.org/,,20-5080679,Poverty,,,,,,,,1.0,137.0,,,,no fund or feat,x,,,feat not fund,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
250,World Central Kitchen,"$32,024.00","$32,023.26",https://wck.org/,,27-3521132,Hunger; Disaster relif,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
251,World Food Programme,"$43,836.00","$43,835.16",http://www1.wfp.org/,,13-3843435,Hunger,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48",,,,,,,,,"$25,205.00","$25,204.68",,,,
252,World Wildlife Foundation,$0.00,$0.00,,,86-3223320,Environment,,,,,,,,1.0,0.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
253,World YWCA,$0.00,$0.00,,,,Community services; Human services,,,,,,,,2.0,60.0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Youth Action,$0.00,$0.00,,,,,,,,,,,,1.0,,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
