,Charity,Website,Passthrough,EIN,Tags,Annual Revenue,Total grants,Number of grants,Most recent grant,Videos this year,All Videos,Last featured
419,Open AIR,,,,Arts and culture,,$0,0,,1,1,
420,Grassroots Comedy,,,,Civil rights and advocacy; Arts and culture,,$0,0,,1,1,
421,"Milton Marks Neuro-Oncology Family Camp, a project of Community Initiatives",,,,Children and youth; Healthcare; Mental health; Arts and culture,,$0,0,,1,1,
422,GiveInternet.org,,,,Education; Community improvement; Human rights; Children and youth; Employment; Poverty,,$0,0,,2,2,
423,Union of Concerned Scientists,,,,Science and technology; Civil rights and advocacy; Environment and conservation; Employment,,$0,0,,1,1,
424,New Meaning Foundation,,,,Children and youth; Education; Community improvement,,$0,0,,1,1,
425,Lunch Break,,,,"Hunger, food, and nutrition; Poverty; Community improvement",,$0,0,,1,1,
426,Feeding Our Communities Partners,,,,"Hunger, food, and nutrition",,$0,0,,1,1,
427,Project Guardian,,,,Children and youth; Disability; Healthcare,,$0,0,,1,1,
428,Stephanie Nicole Parze Foundation,,,,Crime and legal services; Mental health; Community improvement,,$0,0,,1,1,
429,The Midas Project,,,,Civil rights and advocacy; Science and technology,,$0,0,,1,1,
430,22 Jumps,,,,Mental health; Science and technology; Community improvement,,$0,0,,1,1,
431,Chef Ann Foundation,,,,"Hunger, food, and nutrition",,$0,0,,1,1,
432,We Are TB,,,,Disability; Healthcare; Civil rights and advocacy; Community improvement,,$0,0,,1,1,
433,Raiden Science Foundation,,,,Children and youth; Healthcare; Science and technology,,$0,0,,1,1,
434,Tailored Food,,,,"Employment; Environment and conservation; Hunger, food, and nutrition; Community improvement; Animals",,$0,0,,1,1,
435,RAPTOR Inc.,,,,Children and youth; Education; Environment and conservation; Science and technology; Animals,,$0,0,,1,1,
436,Girl Rising,,,,Education; Community improvement; Human rights; Children and youth; Mental health; Civil rights and advocacy; Poverty,,$0,0,,14,14,
437,Become,,,,Children and youth; Education; Civil rights and advocacy; Community improvement,,$0,0,,1,1,
438,Art South,,,,Children and youth; Mental health; Community improvement; Arts and culture,,$0,0,,1,1,
439,826NYC,,,,Children and youth; Education; Arts and culture,,$0,0,,1,1,
440,America's Watershed Initiative (AWI),,,,Science and technology; Disaster preparedness and relief; Environment and conservation; Community improvement,,$0,0,,2,2,
441,Crisis Line & Safe House of Central Georgia,,,,Children and youth; Crime and legal services; Mental health; Sports and recreation,,$0,0,,1,1,
442,SOS Animales Nicaragua,,,,Education; Community improvement; Animals,,$0,0,,1,1,
443,Global Coral Reef Alliance,,,,Disaster preparedness and relief; Environment and conservation; Science and technology; Animals,,$0,0,,1,1,
444,SeriousFun Children's Network,,,,Children and youth; Disability; Healthcare; Mental health,,$0,0,,1,1,
445,National Immigration Law Center,,,,Human rights; Education; Immigration,,$0,0,,2,2,
446,Climate Smart Missoula,,,,Disaster preparedness and relief; Education; Environment and conservation; Civil rights and advocacy; Community improvement,,$0,0,,1,1,
447,Camp Fire North Shore,,,,Children and youth; Education,,$0,0,,1,1,
448,CASA NYC,,,,Children and youth,,$0,0,,1,1,
449,Heartland Sings,,,,Arts and culture,,$0,0,,1,1,
450,Pocono Family YMCA,,,,Children and youth; Sports and recreation; Community improvement,,$0,0,,1,1,
451,Breakthrough T1D,,,,Healthcare,,$0,0,,1,1,
452,The Doris Howell Foundation,,,,Healthcare,,$0,0,,1,1,
453,Tree Kangaroo Conservation Program,,,,Education; Employment; Healthcare; Science and technology; Animals,,$0,0,,1,1,
454,Curiosity Learning,,,,Children and youth; Education; Community improvement,,$0,0,,1,1,
455,Aspiritech,,,,Disability; Education; Employment; Mental health; Science and technology,,$0,0,,1,1,
456,Medical Aid for Palestinians,,,,Disability; Healthcare; Human rights; Mental health,,$0,0,,1,1,
457,The Tahirih Justice Center,,,,Education; Human rights; Immigration,,$0,0,,1,1,
458,Good Food Fund,,,,"Environment and conservation; Healthcare; Hunger, food, and nutrition; Animals",,$0,0,,1,1,
459,Wisconsin Leadership Seminars (WILS),,,,Children and youth; Education; Community improvement,,$0,0,,1,1,
460,FarmKind,,,,Animals,,$0,0,,1,1,
461,The Plural Association,,,,Education; Mental health; Civil rights and advocacy; Community improvement,,$0,0,,1,1,
462,Geeks OUT,,,,LGBTQ+; Arts and culture,,$0,0,,1,1,
463,ISKME,,,,Education; Civil rights and advocacy,,$0,0,,1,1,
464,BDSRA Foundation,,,,Children and youth; Disability; Healthcare; Science and technology,,$0,0,,1,1,
465,Giving Green,,,,Disaster preparedness and relief; Environment and conservation; Science and technology,,$0,0,,1,1,
466,Animal Welfare Observatory,,,,"Environment and conservation; Hunger, food, and nutrition; Animals",,$0,0,,1,1,
467,Adopt a Storm Drain,,,,Environment and conservation; Community improvement,,$0,0,,1,1,
468,Tackle Kids Cancer,,,,Children and youth; Healthcare; Science and technology; Community improvement,,$0,0,,1,1,
469,Village Health Works,,,,"Education; Healthcare; Hunger, food, and nutrition; Poverty; Community improvement",,$0,0,,1,1,
470,Nuestra Tierra Aldea Creativa,,,,Education; Environment and conservation; Community improvement; Animals,,$0,0,,1,1,
471,Breast cancer research foundation,,,,Healthcare,,$0,0,,1,1,
472,HELP Foundation,,,,"Education; Housing and shelter; Hunger, food, and nutrition; Poverty",,$0,0,,1,1,
473,Immigrant Law center of Minnesota,,,,Immigration,,$0,0,,1,1,
474,Reading Is Fundamental,,,,Children and youth; Education; Poverty,,$0,0,,1,1,
475,St. Francis Inn,,,,"Hunger, food, and nutrition; Poverty; Community improvement",,$0,0,,1,1,
476,Rural Health Care Initiative,,,,"Children and youth; Healthcare; Hunger, food, and nutrition; Poverty; Community improvement",,$0,0,,1,1,
477,Village Alliance of the Southern Tier (VAST),,,,Community improvement,,$0,0,,1,1,
478,Merrymac Farm Sanctuary,,,,Animals,,$0,0,,1,1,
479,Emmy's Academy,,,,Children and youth; Disability; Education,,$0,0,,1,1,
480,SouthWest Organizing Project,,,,Children and youth; Environment and conservation; Civil rights and advocacy; LGBTQ+; Community improvement,,$0,0,,1,1,
481,Electric Love,,,,Children and youth; Disability; Sports and recreation,,$0,0,,1,1,
482,Kingdom Home,,,,Children and youth; Education; Housing and shelter; Human rights; Poverty,,$0,0,,1,1,
483,Hauling with Heart,,,,Environment and conservation; Housing and shelter; Poverty; Community improvement,,$0,0,,1,1,
484,Children's Health Fund,,,,Healthcare,,$0,0,,1,1,
485,Soft Landing Missoula,,,,"Children and youth; Employment; Hunger, food, and nutrition; Immigration; Civil rights and advocacy",,$0,0,,1,1,
486,KidZone TV,,,,Children and youth; Disability; Healthcare; Mental health; Arts and culture,,$0,0,,1,1,
487,West Side Campaign Against Hunger,,,,"Human rights; Hunger, food, and nutrition; Poverty; Community improvement",,$0,0,,1,1,
488,Fundación del Quemado,,,,Healthcare,,$0,0,,1,1,
489,International Centre for Animal Rights and Ethics (ICARE),,,,Education; Animals,,$0,0,,1,1,
490,Heart of PPA2,,,,Children and youth; Healthcare; Science and technology,,$0,0,,1,1,
491,Purple House,,,,Healthcare; Community improvement,,$0,0,,1,1,
492,Sense,,,,Disability,,$0,0,,1,1,
493,Just Safe,,,,Crime and legal services,,$0,0,,1,1,
494,Treatment Action Group,,,,Healthcare; Civil rights and advocacy; LGBTQ+; Science and technology,,$0,0,,1,1,
495,Caroline Symmes Children’s Cancer Endowment,,,,Children and youth; Education; Healthcare; Science and technology; Community improvement,,$0,0,,1,1,
496,Wabanaki Public Health and Wellness,,,,Children and youth; Arts and culture,,$0,0,,1,1,
497,The News Literacy Project,,,,Children and youth; Education,,$0,0,,1,1,
498,Shooting Touch,,,,Sports and recreation,,$0,0,,1,1,
499,Camp Fircom Society,,,,Children and youth; Education; Environment and conservation,,$0,0,,1,1,
500,AIDS Resource Alliance,,,,"Healthcare; Hunger, food, and nutrition; LGBTQ+; Poverty",,$0,0,,1,1,
501,The Lift Garage,,,,Employment; Poverty; Community improvement,,$0,0,,1,1,
502,Woodwell Climate Research Center,,,,Environment and conservation; Science and technology,,$0,0,,1,1,
503,"Safe Haven, Cambodia",,,,Children and youth; Disability; Healthcare,,$0,0,,1,1,
504,Clinic by the Bay,,,,Healthcare; Human rights; Immigration; Mental health; Community improvement,,$0,0,,1,1,
505,Paws and Claws Wildlife Rehabilitation,,,,Environment and conservation; Animals,,$0,0,,1,1,
506,HIVSA,,,,Children and youth; Employment; Healthcare; Mental health; Community improvement,,$0,0,,1,1,
507,Fostering Science,,,,Children and youth; Education; Environment and conservation; Science and technology; Community improvement,,$0,0,,1,1,
508,Refuge Coffee Co.,,,,Employment; Immigration; Community improvement,,$0,0,,1,1,
509,Paula Sparks World Moot on International Law and Animal Rights,,,,Children and youth; Civil rights and advocacy; Community improvement; Animals,,$0,0,,1,1,
510,Stichting Rescat,,,,Animals,,$0,0,,1,1,
511,Lafiya,,,,Children and youth; Healthcare; Human rights; Poverty; Science and technology,,$0,0,,1,1,
512,Cherry Children's Music Outreach,,,,Children and youth; Education; Arts and culture,,$0,0,,1,1,
513,SOSA,,,,Children and youth; Crime and legal services; Community improvement,,$0,0,,1,1,
514,Ethical Seafood Research,,,,Environment and conservation; Science and technology; Animals,,$0,0,,1,1,
515,Women's Foundation of Minnesota,,,,Human rights; Civil rights and advocacy,,$0,0,,1,1,
516,Tennessee Environmental Council,,,,Environment and conservation; Community improvement,,$0,0,,1,1,
517,Rez Vet,,,,Animals,,$0,0,,1,1,
518,Raven's Journey,,,,Children and youth; Education; Employment; Environment and conservation; Poverty,,$0,0,,1,1,
519,Last Chance Ranch,,,,Animals,,$0,0,,1,1,
520,The Roots of Music,,,,Children and youth; Education; Arts and culture,,$0,0,,1,1,
521,Ngombor,,,,"Education; Environment and conservation; Hunger, food, and nutrition; Poverty; Community improvement",,$0,0,,1,1,
522,KKOOM,,,,Children and youth; Education; Housing and shelter; Poverty; Community improvement,,$0,0,,1,1,
523,Free2Luv,,,,Human rights; Mental health; LGBTQ+,,$0,0,,1,1,
524,Baltimore Underground Science Space (BUGSS),,,,Children and youth; Education; Environment and conservation; Science and technology; Community improvement,,$0,0,,1,1,
525,Argyle Community Parks Foundation,,,,Children and youth; Sports and recreation; Community improvement,,$0,0,,1,1,
526,Brady United Against Gun Violence,,,,Children and youth; Crime and legal services; Mental health; Civil rights and advocacy; Community improvement,,$0,0,,1,1,
527,Machine Intelligence Research Institute,,,,Science and technology,,$0,0,,1,1,
528,Orange County Bird of Prey Center,,,,Education; Environment and conservation; Animals,,$0,0,,1,1,
529,Makoce Agriculture Development,,,,"Children and youth; Education; Hunger, food, and nutrition; Community improvement; Arts and culture",,$0,0,,1,1,
530,Nonhuman Rights Project,,,,Civil rights and advocacy; Animals,,$0,0,,1,1,
531,Casa Youth Shelter,,,,Children and youth; Education; Housing and shelter; Mental health; LGBTQ+,,$0,0,,1,1,
532,Coffin-Siris Syndrome Foundation,,,,Disability,,$0,0,,1,1,
533,Patterson-McCallum-Mareta Charitable Pharmacy (PMMCP),,,,Healthcare; Community improvement,,$0,0,,1,1,
534,Samos Volunteers,,,,Education; Human rights; Immigration; Mental health; Community improvement,,$0,0,,1,1,
535,RESCU Foundation,,,,Healthcare; Mental health; Arts and culture,,$0,0,,1,1,
536,Stichting Matchis,,,,Healthcare,,$0,0,,1,1,
537,NC Robotics Initiative,,,,Education; Science and technology,,$0,0,,1,1,
538,Allied Scholars for Animal Protection (ASAP),,,,Children and youth; Education; Environment and conservation; Civil rights and advocacy; Animals,,$0,0,,1,1,
539,Merced Housing Texas,,,,Children and youth; Housing and shelter; Poverty; Community improvement,,$0,0,,1,1,
540,VEAP,,,,"Children and youth; Housing and shelter; Hunger, food, and nutrition; Immigration; Poverty",,$0,0,,1,1,
541,Habitat for Humanity of Greater Charlottesville,,,,Housing and shelter; Community improvement,,$0,0,,1,1,
542,FoodWhat?!,,,,"Children and youth; Employment; Environment and conservation; Hunger, food, and nutrition; Mental health",,$0,0,,1,1,
543,"Phoenix No Limits Karate, Inc",,,,Children and youth; Disability; Human rights; Sports and recreation; Community improvement,,$0,0,,1,1,
544,Melodies of Liberation,,,,Human rights; Civil rights and advocacy; Arts and culture,,$0,0,,1,1,
545,Coalition Against Trafficking in Women,,,,Education,,$0,0,,1,1,
546,Wellness in the Schools,,,,"Hunger, food, and nutrition",,$0,0,,1,1,
547,The Marfan Trust,,,,Disability; Healthcare,,$0,0,,1,1,
548,UEEH,,,,Disability; Education; Healthcare; LGBTQ+; Community improvement,,$0,0,,1,1,
549,Convergence Communautaire du Faso (COCOFA),,,,Community improvement; Healthcare,,$0,0,,1,1,
550,EmpowerVan,,,,Education; Human rights; Immigration; Civil rights and advocacy; Sports and recreation,,$0,0,,1,1,
551,Trans Up Front IL,,,,Children and youth; Civil rights and advocacy; LGBTQ+,,$0,0,,1,1,
552,The Camp Tanamakoon Charitable Foundation Inc. o/a Camp Maple Leaf,,,,Children and youth; Disability; Mental health; Sports and recreation; Community improvement,,$0,0,,1,1,
553,S.A.L.V.E. International,,,,Children and youth; Poverty,,$0,0,,1,1,
554,Second Tree,,,,Education; Human rights; Immigration; Civil rights and advocacy; Community improvement,,$0,0,,1,1,
555,HeartBrothers Foundation,,,,Disability; Healthcare; Community improvement,,$0,0,,1,1,
556,Casa Belen,,,,"Children and youth; Education; Hunger, food, and nutrition; Poverty; Community improvement",,$0,0,,1,1,
557,Summit Assistance Dogs,,,,Disability; Animals,,$0,0,,1,1,
558,Ethical Society of St. Louis,,,,Children and youth; Education; Mental health,,$0,0,,1,1,
559,PKD Foundation of Canada,,,,Healthcare,,$0,0,,1,1,
560,Native American Community Services of Erie & Niagara Counties,,,,"Education; Employment; Hunger, food, and nutrition; Mental health; Community improvement",,$0,0,,1,1,
561,immigration equality,,,,Immigration,,$0,0,,1,1,
562,Camp Quest,,,,Children and youth; LGBTQ+; Sports and recreation,,$0,0,,1,1,
563,Ten by Three,,,,Education; Environment and conservation; Poverty; Community improvement,,$0,0,,1,1,
564,Golden Eagle Partnership,,,,Environment and conservation; Animals,,$0,0,,1,1,
565,Doctors Against Animal Experiments,,,,Education; Healthcare; Science and technology; Animals,,$0,0,,1,1,
566,Second Harvest Heartland,,,,"Children and youth; Human rights; Hunger, food, and nutrition; Poverty; Community improvement",,$0,0,,1,1,
567,An Open Book Foundation,,,,Children and youth; Education; Arts and culture,,$0,0,,1,1,
568,Toilet Equity,,,,Environment and conservation; Healthcare; Human rights; Poverty; Community improvement,,$0,0,,1,1,
569,The Phoenix House New York,,,,Mental health,,$0,0,,1,1,
570,Intertribal Agriculture Council,,,,"Children and youth; Environment and conservation; Hunger, food, and nutrition; Civil rights and advocacy; Community improvement",,$0,0,,1,1,
571,Do It Yourself Darlin,,,,Education; Housing and shelter; Community improvement,,$0,0,,1,1,
572,The Shadow Project,,,,Children and youth; Disability; Education; Mental health,,$0,0,,1,1,
573,Swan Valley Connections,,,,Children and youth; Disaster preparedness and relief; Education; Environment and conservation; Animals,,$0,0,,1,1,
574,Denver Philharmonic Orchestra,,,,Arts and culture,,$0,0,,1,1,
575,Make-A-Day,,,,Housing and shelter; Poverty,,$0,0,,1,1,
576,Joe Andruzzi Foundation,,,,Healthcare,,$0,0,,1,1,
577,Interface Children & Family Services,,,,"Children and youth; Housing and shelter; Hunger, food, and nutrition",,$0,0,,1,1,
578,American Indian Education Fund,,,,Children and youth; Education,,$0,0,,1,1,
579,Aces Dance Collective,,,,Arts and culture,,$0,0,,1,1,
580,Palestine Children's Relief Fund,,,,"Children and youth; Disaster preparedness and relief; Human rights; Hunger, food, and nutrition; Civil rights and advocacy",,$0,0,,1,1,
581,The Cholangiocarcinoma Foundation,,,,Healthcare,,$0,0,,1,1,
582,Asociación PASMO,,,,Healthcare; LGBTQ+,,$0,0,,1,1,
583,The Young Women's Movement,,,,Children and youth; Human rights; Civil rights and advocacy,,$0,0,,1,1,
584,Climate Ed,,,,Children and youth; Education; Environment and conservation; Community improvement,,$0,0,,1,1,
585,Autism Science Foundation,,,,Children and youth; Education; Community improvement,,$0,0,,1,1,
